Id,Hazard
6,2.622522646027603
7,7.7819576084485025
8,6.308326656642356
9,3.980539236183133
10,2.201316695350909
11,4.829055323387559
13,4.492406954896717
14,3.6449083717355935
16,3.119980412829897
17,3.159235981782567
18,4.601856168750448
20,4.381070308300028
27,4.300150404004697
28,4.366811743194347
29,2.609375398798006
30,3.3483225928276017
34,3.9634158535286463
35,3.8067434655643977
36,3.831922448248842
37,3.4584673125700993
38,4.187469769396981
40,3.3842396847729725
42,4.470604013267891
46,3.7750310708611616
47,3.9135679742110945
48,3.9541571719616915
49,6.136487434032319
51,4.375864789612654
52,4.8615755328150145
53,2.479718663023511
54,3.641080751086189
55,2.6143474250390444
56,4.985699012788461
57,2.5630775448710432
60,5.220924882526697
61,2.5773798883847547
64,5.194872386831965
65,4.678341480041009
66,5.319641070043771
68,5.723646939186633
70,3.894063437056815
71,2.8644106319595717
75,4.133900526222006
76,4.5257496215845165
78,4.40610787762848
80,3.7535594751055186
81,6.146724622431138
82,4.068451450500515
83,3.507365936516096
85,3.0274273266717575
86,2.796616397307833
87,4.035167501640526
89,4.006426347790564
90,3.6574706171510094
91,4.04618963722837
92,4.685990984937703
95,3.4173679379074273
97,5.957709987044332
99,2.832599412298589
101,4.202706003063003
102,4.516732302351022
103,4.171151734066237
104,5.896356242355051
107,3.7345639650165694
108,3.542464114539448
111,3.5882678261842558
112,6.074278736908738
115,4.173050167855798
119,3.4010305013927757
121,4.395092451769557
124,4.103020721341407
128,4.08004941416473
130,5.208196434658067
131,4.17056986034617
133,5.12122735854726
134,5.463246860439028
137,5.358905238208374
138,4.000765518861746
142,4.4460037672861645
143,4.73245335602038
144,4.378555604174423
145,5.395029802129516
147,3.2931378389174704
148,4.054229907434845
152,2.653952016085158
154,6.425672576070008
158,3.5062004452642994
159,3.0554626084544445
160,4.432972512298232
161,3.973047625384872
164,3.4013347833744794
165,3.379127783604999
166,2.512248139469894
167,3.4294137918546594
169,3.5887918065209083
170,4.638219206177846
171,6.041386037743473
175,2.8632639265921243
177,4.848499253681565
178,4.587749160330963
180,5.126926812097367
182,4.39868664041443
184,2.947918365793741
185,5.14689003629842
186,3.7856672306102537
190,5.684426262127365
191,4.192145769173646
192,3.545595592196465
195,5.205916098656905
196,5.781316293577741
197,4.011565859044363
198,3.023633087751768
199,3.500314788979101
200,3.663240753835373
204,3.3626656184859582
205,4.580202098520904
207,2.5003116987989586
208,2.589878809798778
209,4.102470427601111
211,5.618390760521981
216,4.8286163359948775
217,2.893255625081825
220,3.8477221130972143
223,4.9516175758539385
224,4.656776346041367
230,3.1957922985798364
232,3.5385827721789975
235,4.188325474358276
236,4.419775306786551
238,4.1474825041231815
240,3.050125340032489
242,3.6831950068883756
244,3.370267270586605
245,4.143824020116
248,3.999997124412652
251,4.681990638054986
256,4.452639107277869
258,4.953991260041647
259,5.173612422624583
261,4.768076113500545
267,4.240159576788093
268,4.494233843697501
270,5.052613245773176
272,7.302220259871856
273,3.18366801673194
275,2.322938405417556
276,3.2850503988219826
277,3.685102526495662
279,4.447050110684224
283,4.273842926593603
284,3.5535912746607656
286,3.240062739115289
287,6.002349762776918
288,3.631950400322678
289,4.798020962753688
